Serial Number,English Word,Part of Speech,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
214,Nefarious,Adjective,தீய,दुष्ट (Dusht),The villain's nefarious plot failed.,வில்லனின் தீய சதித்திட்டம் தோல்வியடைந்தது.,खलनायक की दुष्ट साजिश विफल रही।,"Wicked, Evil, Sinful",கொடிய / தீய
215,Obdurate,Adjective,பிடிவாதமான,जिद्दी (Ziddi),The child remained obdurate.,குழந்தை பிடிவாதமாக இருந்தது.,बच्चा जिद्दी बना रहा।,"Stubborn, Obstinate, Unyielding",பிடிவாதமான
216,Pervasive,Adjective,பரவலாக,व्यापक (Vyaapak),Social media is pervasive today.,சமூக ஊடகங்கள் இன்று பரவலாக உள்ளன.,सोशल मीडिया आज व्यापक है।,"Widespread, Extensive, General",பரவலான
217,Quixotic,Adjective,வீண் முயற்சி,व्यर्थ प्रयास (Vyarth Prayaas),Pursuing that goal is quixotic.,அந்தக் குறிக்கோளைத் தொடர்வது வீண் முயற்சி.,उस लक्ष्य का पीछा करना व्यर्थ प्रयास है।,"Idealistic, Unrealistic",நடைமுறைக்கு ஒவ்வாத
218,Rampant,Adjective,கட்டுக்கடங்காத,अनियंत्रित (Aniyantrit),Corruption is rampant in the system.,அமைப்பில் ஊழல் கட்டுக்கடங்காததாக உள்ளது.,सिस्टम में भ्रष्टाचार अनियंत्रित है।,"Uncontrolled, Widespread",கட்டுப்பாடற்ற / பரவலான
219,Subtle,Adjective,நுட்பமான,सूक्ष्म (Sukshm),There was a subtle difference in the flavors.,சுவைகளில் ஒரு நுட்பமான வித்தியாசம் இருந்தது.,स्वाद में एक सूक्ष्म अंतर था।,"Fine, Delicate, Precise",நுணுக்கமான
220,Tout,Verb,புகழ்ந்து பேசு,प्रचार करना (Prachaar Karna),The company began to tout its new product.,நிறுவனம் தனது புதிய தயாரிப்பைப் புகழ்ந்து பேச ஆரம்பித்தது.,कंपनी ने अपने नए उत्पाद का प्रचार करना शुरू कर दिया।,"Praise, Promote, Commend",புகழ்ந்து பேசு
221,Unfettered,Adjective,தடையற்ற,बेरोकटोक (Berokatok),He enjoyed an unfettered view of the sea.,அவர் கடலின் தடையற்ற காட்சியைக் கண்டு மகிழ்ந்தார்.,उन्होंने समुद्र के बेरोकटोक दृश्य का आनंद लिया।,"Free, Unrestrained, Loose",கட்டற்ற
222,Vicissitude,Noun,ஏற்ற இறக்கம்,उतार-चढ़ाव (Utaar-Chadhav),The vicissitudes of life affect us all.,வாழ்க்கையின் ஏற்ற இறக்கம் நம் அனைவரையும் பாதிக்கிறது.,जीवन के उतार-चढ़ाव हम सभी को प्रभावित करते हैं।,"Change, Alteration, Shift",வாழ்க்கை மாற்றங்கள்
223,Wane,Verb,குறை,क्षीण होना (Ksheen Hona),His popularity began to wane.,அவரது புகழ் குறைய ஆரம்பித்தது.,उनकी लोकप्रियता क्षीण होना शुरू हो गई।,"Decline, Diminish, Fade",தேய்தல்
224,Yelp,Verb,கீச்சிடு,चीख़ना (Cheekhna),The dog gave a sharp yelp of pain.,நாய் வலியால் ஒரு கூர்மையான கீச்சிட்டது.,कुत्ते ने दर्द से एक तेज चीख़ दी।,"Cry, Bark, Squeal",அலறல்
225,Zesty,Adjective,சுவையான / சுறுசுறுப்பான,उत्साहजनक (Utsaahajanak),They served a zesty lemon dressing.,அவர்கள் ஒரு சுவையான எலுமிச்சை அலங்காரத்தை வழங்கினர்.,उन्होंने एक उत्साहजनक नींबू की ड्रेसिंग परोसी।,"Energetic, Spirited, Tangy",சுறுசுறுப்பான / காரமான
