Day Number,Difficulty,English,Tamil (தமிழ்),Hindi (हिंदी)
Day 159,beginner.,I will double-check the delivery status.,விநியோக நிலையை நான் மீண்டும் சரிபார்ப்பேன். (Viniyoga nilaiyai naan meendum saripaarppen.),मैं डिलीवरी की स्थिति की दोबारा जांच करूँगा। (Main delivery ki sthiti ki dobara jaanch karoonga.)
Day 159,beginner.,It’s not within my scope of work.,இது எனது பணி எல்லைக்குள் இல்லை. (Idhu enadhu pani ellaikkul illai.),यह मेरे कार्यक्षेत्र में नहीं है। (Yeh mere karyakshetra mein nahi hai.)
Day 160,beginner.,I am happy to collaborate with you.,உங்களுடன் இணைந்து பணியாற்றுவதில் மகிழ்ச்சி. (Ungaludan inaindhu paniyattruvadhil magizhchi.),मुझे आपके साथ सहयोग करने में खुशी होगी। (Mujhe aapke saath sahyog karne mein khushi hogi.)
Day 160,beginner.,Could you explain the context of this?,இதற்கான சூழலை விளக்க முடியுமா? (Idharkaana soozhalai vilakka mudiyuma?),क्या आप इसका संदर्भ समझा सकते हैं? (Kya aap iska sandarbh samjha sakte hain?)
Day 160,beginner.,I am considering a career change.,நான் தொழில் மாற்றத்தைப் பற்றி யோசிக்கிறேன். (Naan thozhil maattrathaip pattri yosikkiren.),मैं करियर बदलने के बारे में सोच रहा हूँ। (Main career badalne ke baare mein soch raha hoon.)
Day 160,beginner.,What is the impact of this decision?,இந்த முடிவின் தாக்கம் என்ன? (Indha mudivin thaakkam enna?),इस फैसले का क्या प्रभाव होगा? (Is faisle ka kya prabhav hoga?)
Day 160,beginner.,I need to set realistic goals.,நான் யதார்த்தமான இலக்குகளை நிர்ணயிக்க வேண்டும். (Naan yadhardhamaana ilakkugalai nirnayikka vendum.),मुझे यथार्थवादी लक्ष्य निर्धारित करने की आवश्यकता है। (Mujhe yatharthvadi lakshya nirdharit karne ki avashyakta hai.)
Day 161,beginner.,Could you provide more examples?,கூடுதல் உதாரணங்களை வழங்க முடியுமா? (Koodudhal udhaaranangalai vazhanga mudiyuma?),क्या आप और उदाहरण दे सकते हैं? (Kya aap aur udaharan de sakte hain?)
Day 161,beginner.,I am looking forward to our partnership.,நமது கூட்டாண்மையை ஆவலுடன் எதிர்பார்க்கிறேன். (Namadhu koottaanmaiyai aavaludan edhirpaarkkiren.),मैं हमारी साझेदारी के लिए उत्सुक हूँ। (Main hamari sajhedari ke liye utsuk hoon.)
Day 161,beginner.,What is the core problem here?,இங்குள்ள முக்கிய பிரச்சனை என்ன? (Ingulla mukkiya pirachannai enna?),यहाँ मुख्य समस्या क्या है? (Yahan mukhya samasya kya hai?)
Day 161,beginner.,I will coordinate with the team.,நான் குழுவுடன் ஒருங்கிணைந்து செயல்படுவேன். (Naan kuzhuvudan orunginaindhu seyalpaduven.),मैं टीम के साथ समन्वय करूँगा। (Main team ke saath samanvay karoonga.)
Day 161,beginner.,Could you please repeat the instructions?,தயவுசெய்து வழிமுறைகளை மீண்டும் கூற முடியுமா? (Thayavuseidhu vazhimuraigalai meendum koora mudiyuma?),क्या आप कृपया निर्देश दोहरा सकते हैं? (Kya aap kripaya nirdesh dohra sakte hain?)
Day 162,beginner.,I am busy with an urgent matter.,நான் ஒரு அவசர வேலையாக இருக்கிறேன். (Naan oru avasara velaiyaaga irukkiren.),मैं एक ज़रूरी मामले में व्यस्त हूँ। (Main ek zaroori maamle mein vyast hoon.)
Day 162,beginner.,What is the timeline for completion?,முடிப்பதற்கான காலவரிசை என்ன? (Mudippadharkaana kaalavarisai enna?),पूरा होने की समयसीमा क्या है? (Poora hone ki samayseema kya hai?)
Day 162,beginner.,I will handle the client communication.,வாடிக்கையாளர் தொடர்பை நான் கவனிப்பேன். (Vaadikkaiyaalar thodarbai naan kavanippen.),मैं क्लाइंट संचार को संभालूँगा। (Main client sanchar ko sambhaalunga.)
Day 162,beginner.,Could you clarify the objective?,குறிக்கோளை விளக்க முடியுமா? (Kurikkolai vilakka mudiyuma?),क्या आप उद्देश्य स्पष्ट कर सकते हैं? (Kya aap uddeshya spasht kar sakte hain?)
Day 162,beginner.,I am open to new ideas.,நான் புதிய யோசனைகளை ஏற்கத் தயார். (Naan pudhiya yōsanaigalai ērkkath thayār.),मैं नए विचारों के लिए तैयार हूँ। (Main naye vicharon ke liye taiyar hoon.)
Day 163,beginner.,What is the budget allocation for this?,இதற்கான பட்ஜெட் ஒதுக்கீடு எவ்வளவு? (Idharkaana budget odhukkeedu evvalavu?),इसके लिए बजट आवंटन क्या है? (Iske liye budget aavantan kya hai?)
Day 163,beginner.,I will prepare the presentation by tomorrow.,நாளைக்குள் விளக்கக்காட்சியைத் தயார் செய்வேன். (Naalaikkul vilakkakkaatchiyaith thayaar seiven.),मैं कल तक प्रेजेंटेशन तैयार कर लूँगा। (Main kal tak presentation taiyar kar loonga.)
